input,category,instructions,pilot,agent
How many customers have both EV ownership and electric space heating?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a count of customers with both an EV and electric space heating detected. 0.5: returns customers with EV or space heating separately without filtering to those who have both. 0.0: empty, refuses, returns a list instead of a count, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Which area has the highest electricity consumption overall?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns the single geographic area with the highest total consumption, with the consumption value and period stated. 0.5: returns multiple top areas rather than identifying a single maximum. 0.0: empty, refuses, returns per-customer data instead of an area aggregate, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
What is the total electricity consumption in the most recent year available?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns the territory-wide total consumption for the most recent complete year, naming the year. 0.5: returns consumption for a subset of the year or a different year without flagging it. 0.0: empty, refuses, returns per-customer or monthly data without an annual total, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How many new customers were added each month in the most recent year?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a month-by-month count of new customer additions for the most recent complete year. 0.5: returns total customer growth for the year without monthly breakdown, or covers only part of the year. 0.0: empty, refuses, returns total customers rather than new additions, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Show consumption for the top appliance category across all customers,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: identifies the appliance category with the highest total consumption and returns the relevant consumption data. 0.5: returns consumption broken down by all appliance categories without identifying the top one. 0.0: empty, refuses, returns data for a specific appliance not chosen by the data, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
How does EV consumption compare year over year?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a year-over-year comparison of EV consumption across at least two years with direction of change stated. 0.5: returns EV consumption for multiple years without a year-over-year framing. 0.0: empty, refuses, returns non-EV consumption data, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Which appliance has grown the fastest in consumption over the last 2 years?,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: identifies the appliance category with the highest consumption growth rate over the last 2 years, with supporting data. 0.5: returns growth data for all appliances without identifying the fastest-growing one. 0.0: empty, refuses, returns a snapshot without a growth comparison, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Show me cooling consumption trends across all regions,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns cooling consumption over time broken down by region, showing how trends differ geographically. 0.5: returns overall cooling trends without regional breakdown, or returns a snapshot instead of a trend. 0.0: empty, refuses, returns heating instead of cooling, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Show heating consumption by region for low-income areas,Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns per-region heating consumption filtered to areas with below-average or low median income, with the income threshold stated. 0.5: returns heating by region without an income filter, or returns income data without heating consumption. 0.0: empty, refuses, returns cooling or total consumption instead of heating, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
"Which customers have inefficient heating and high winter usage, and what are the likely reasons?",Analyse Trends,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns a customer list with both inefficient heating and high winter usage AND provides plausible inferred reasons. 0.5: returns the right customer list but provides no reasoning, or provides reasoning without a customer list. 0.0: empty, refuses, returns aggregates instead of a customer list, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
Find customers who are not on a time-of-use rate but have high peak-hour EV charging,Target Programs,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns customers not enrolled in a TOU rate who have significant EV charging during peak hours — suitable for a TOU migration program. 0.5: returns high peak-hour EV customers without filtering out those already on TOU, or applies only one filter. 0.0: empty, refuses, returns all EV customers regardless of rate plan or charging time, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
what percentage of customers have L1 chargers?,Get Data,"Grading for the DEMO pilot (agent ENERGY_AMI_AGENT_DEMO). Do not verify exact figures. 1.0: returns the percentage of customers with Level 1 (L1) EV chargers, with the L1 definition stated. 0.5: returns counts of L1 chargers without converting to percentages, or includes all charger levels when only L1 was asked. 0.0: empty, refuses, returns EV consumption instead of charger level breakdown, or is off-topic.",DEMO,ENERGY_AMI_AGENT_DEMO
